EFW_Index,GovSize,LegalSystem,SoundMoney,TradeFreedom,Regulation,Return,Risk
,0.88 (p-value: 0.0000),-0.11 (p-value: 0.6221),0.81 (p-value: 0.0000),-0.18 (p-value: 0.4439),0.90 (p-value: 0.0000),0.05 (p-value: 0.8237),-0.80 (p-value: 0.0000)
0.88 (p-value: 0.0000),,-0.40 (p-value: 0.0759),0.71 (p-value: 0.0003),-0.35 (p-value: 0.1210),0.83 (p-value: 0.0000),0.02 (p-value: 0.9195),-0.63 (p-value: 0.0023)
-0.11 (p-value: 0.6221),-0.40 (p-value: 0.0759),,-0.29 (p-value: 0.2012),-0.28 (p-value: 0.2210),0.07 (p-value: 0.7762),-0.24 (p-value: 0.3046),0.07 (p-value: 0.7534)
0.81 (p-value: 0.0000),0.71 (p-value: 0.0003),-0.29 (p-value: 0.2012),,-0.09 (p-value: 0.7087),0.55 (p-value: 0.0101),0.19 (p-value: 0.4135),-0.59 (p-value: 0.0053)
-0.18 (p-value: 0.4439),-0.35 (p-value: 0.1210),-0.28 (p-value: 0.2210),-0.09 (p-value: 0.7087),,-0.48 (p-value: 0.0288),0.28 (p-value: 0.2127),-0.04 (p-value: 0.8663)
0.90 (p-value: 0.0000),0.83 (p-value: 0.0000),0.07 (p-value: 0.7762),0.55 (p-value: 0.0101),-0.48 (p-value: 0.0288),,-0.11 (p-value: 0.6258),-0.70 (p-value: 0.0004)
0.05 (p-value: 0.8237),0.02 (p-value: 0.9195),-0.24 (p-value: 0.3046),0.19 (p-value: 0.4135),0.28 (p-value: 0.2127),-0.11 (p-value: 0.6258),,-0.31 (p-value: 0.1763)
-0.80 (p-value: 0.0000),-0.63 (p-value: 0.0023),0.07 (p-value: 0.7534),-0.59 (p-value: 0.0053),-0.04 (p-value: 0.8663),-0.70 (p-value: 0.0004),-0.31 (p-value: 0.1763),
