Year,ISO Code,Countries,Rank,Quartile,EFW,Size of Gov,Legal System,Sound Money,Freedom to Trade,Regulation,PIB per capita,% PIB per capita,Std % PIB per capita,PIB per capita (log),% PIB Real,Retorno Anual,Risco Anual,TradeVolume,NEmpresas,ValorMercado
2018,KOR,"Korea, Rep.",40,1,"7,69","6,70","6,58","9,71","7,99","7,47","33.436,92","0,058","0,041","10,42","0,029","-0,19","0,14",,,
2018,MEX,Mexico,75,2,"7,17","8,26","4,74","8,13","7,63","7,10","9.857,01","0,045","0,083","9,20","0,022","-0,17","0,17",,,
2018,TWN,Taiwan,15,1,"8,05","7,67","7,10","9,72","7,72","8,05","0,00","0,000","0,000","0,00","0,028","-0,09","0,16",,,
2018,THA,Thailand,88,3,"6,86","7,09","4,90","8,59","6,82","6,92","7.124,56","0,107","0,066","8,87","0,042","-0,11","0,12",,,
2018,TUR,Turkey,100,3,"6,66","7,03","4,77","8,35","7,17","5,98","9.400,84","-0,102","0,042","9,15","0,030","-0,23","0,22",,,
2018,USA,United States,6,1,"8,28","7,41","7,65","9,77","7,78","8,79","62.823,31","0,049","0,011","11,05","0,029","-0,06","0,17",,,
2017,ARG,Argentina,136,4,"5,93","6,16","4,74","6,49","6,31","5,95","14.613,04","0,143","0,099","9,59","0,028","0,54","0,19",,,
2003,BRA,Brazil,92,3,"6,09","7,03","5,28","6,97","6,54","4,64","3.056,65","0,082","0,168","8,03","0,011","0,67","0,24","-0,163921145",0,"0,7219180814"
2017,CHL,Chile,21,1,"7,95","8,06","6,70","9,66","8,25","7,10","15.045,53","0,091","0,071","9,62","0,014","0,29","0,14",,,
2017,CHN,China,119,3,"6,26","5,00","5,17","8,43","6,52","6,16","8.817,05","0,089","0,041","9,08","0,069","0,06","0,09",,,
2017,FRA,France,46,2,"7,6","5,37","7,38","9,28","8,44","7,54","38.781,05","0,046","0,081","10,57","0,024","0,09","0,11",,,
2017,DEU,Germany,19,1,"7,97","6,07","7,85","9,26","8,38","8,29","44.652,59","0,060","0,085","10,71","0,027","0,12","0,11",,,
2017,HKG,"Hong Kong SAR, China",1,1,"8,96","8,57","7,88","9,63","9,46","9,28","46.160,43","0,055","0,010","10,74","0,038","0,31","0,11",,,
2017,ISR,Israel,41,1,"7,66","6,47","6,16","9,74","8,49","7,43","41.114,78","0,091","0,065","10,62","0,043","0,06","0,08",,,
2017,JPN,Japan,19,1,"7,97","5,80","7,60","9,75","8,40","8,32","38.834,05","-0,014","0,109","10,57","0,017","0,17","0,12",,,
2017,KOR,"Korea, Rep.",35,1,"7,76","6,99","6,59","9,67","7,97","7,57","31.616,84","0,079","0,043","10,36","0,032","0,20","0,09",,,
2017,MEX,Mexico,75,2,"7,12","8,36","4,78","7,89","7,61","6,98","9.434,38","0,063","0,083","9,15","0,021","0,08","0,10",,,
2017,TWN,Taiwan,18,1,"7,98","7,52","7,04","9,75","7,73","7,87","0,00","0,000","0,000","0,00","0,033","0,14","0,08",,,
2017,THA,Thailand,88,3,"6,78","7,07","4,91","8,57","6,84","6,52","6.436,79","0,099","0,055","8,77","0,042","0,13","0,06",,,
2017,TUR,Turkey,94,3,"6,7","7,26","4,72","8,84","7,16","5,51","10.464,01","-0,025","0,060","9,26","0,075","0,39","0,16",,,
2017,USA,United States,5,1,"8,38","7,36","7,80","9,77","7,92","9,03","59.907,75","0,035","0,006","11,00","0,022","0,18","0,07",,,
2016,ARG,Argentina,148,4,"5,62","6,05","4,70","5,63","6,17","5,56","12.790,26","-0,072","0,075","9,46","-0,021","0,40","0,29",,,
2004,BRA,Brazil,87,3,"6,24","6,98","5,15","7,50","6,66","4,90","3.623,22","0,185","0,142","8,20","0,058","0,15","0,28","0,1661821705",0,"0,2825070462"
2016,CHL,Chile,23,1,"7,92","7,95","6,75","9,45","8,22","7,22","13.785,69","0,016","0,060","9,53","0,018","0,12","0,11",,,
2016,CHN,China,119,3,"6,25","5,04","5,20","8,43","6,36","6,23","8.094,39","0,010","0,047","9,00","0,069","-0,13","0,23",,,
2016,FRA,France,46,2,"7,6","5,34","7,38","9,48","8,41","7,41","37.062,53","0,011","0,078","10,52","0,010","0,04","0,21",,,
2016,DEU,Germany,18,1,8,"6,21","7,88","9,48","8,30","8,14","42.136,12","0,025","0,084","10,65","0,022","0,07","0,21",,,
2016,HKG,"Hong Kong SAR, China",1,1,"8,97","8,52","7,88","9,58","9,45","9,40","43.734,20","0,031","0,008","10,69","0,022","0,00","0,19",,,
2016,ISR,Israel,41,1,"7,64","6,53","6,03","9,67","8,46","7,50","37.690,47","0,041","0,067","10,54","0,045","-0,03","0,11",,,
2016,JPN,Japan,20,1,"7,95","5,77","7,63","9,74","8,37","8,24","39.375,47","0,126","0,111","10,58","0,008","0,00","0,27",,,
2016,KOR,"Korea, Rep.",39,1,"7,7","6,92","6,50","9,73","7,95","7,43","29.288,87","0,019","0,039","10,28","0,029","0,03","0,12",,,
2016,MEX,Mexico,79,2,"7,07","8,37","4,69","8,12","7,26","6,90","8.875,08","-0,090","0,073","9,09","0,026","0,06","0,14",,,
2016,TWN,Taiwan,22,1,"7,94","7,57","7,05","9,69","7,63","7,79","0,00","0,000","0,000","0,00","0,022","0,10","0,13",,,
2016,THA,Thailand,89,3,"6,81","6,81","4,98","8,59","6,71","6,96","5.854,46","0,026","0,044","8,67","0,034","0,18","0,14",,,
2016,TUR,Turkey,85,3,"6,97","7,23","4,94","9,02","7,10","6,56","10.734,26","-0,011","0,065","9,28","0,033","0,09","0,21",,,
2016,USA,United States,5,1,"8,34","7,25","7,79","9,81","7,89","8,95","57.866,74","0,019","0,006","10,97","0,017","0,09","0,13",,,
2015,ARG,Argentina,150,4,"5,26","6,05","4,51","6,60","3,38","5,77","13.789,06","0,118","0,116","9,53","0,027","0,31","0,37",,,
