Year,ISO Code,Countries,Rank,Quartile,EFW,Size of Gov,Legal System,Sound Money,Freedom to Trade,Regulation,PIB per capita,% PIB per capita,Std % PIB per capita,PIB per capita (log),% PIB Real,Retorno Anual,Risco Anual,TradeVolume,NEmpresas,ValorMercado
2009,JPN,Japan,16,1,"7,8","6,07","7,58","9,91","7,70","7,75","41.309,00","0,036","0,062","10,63","-0,057","0,17","0,27",,,
2009,KOR,"Korea, Rep.",38,2,"7,47","7,05","6,37","9,42","7,59","6,95","19.143,85","-0,103","0,136","9,86","0,008","0,40","0,25",,,
2009,MEX,Mexico,76,3,"6,81","7,14","5,04","8,10","7,05","6,71","8.104,92","-0,199","0,126","9,00","-0,053","0,36","0,27",,,
2009,TWN,Taiwan,42,2,"7,39","6,75","6,31","9,65","7,25","7,02","0,00","0,000","0,000","0,00","-0,016","0,58","0,25",,,
2009,THA,Thailand,86,3,"6,64","7,15","5,33","7,21","6,50","7,01","4.154,19","-0,040","0,086","8,33","-0,007","0,49","0,25",,,
2009,TUR,Turkey,70,2,"6,9","7,10","5,39","8,78","7,30","5,95","8.989,74","-0,168","0,157","9,10","-0,048","0,68","0,29",,,
2009,USA,United States,8,1,"8,05","6,65","7,70","9,63","8,03","8,26","47.194,94","-0,028","0,035","10,76","-0,026","0,21","0,27",,,
2008,ARG,Argentina,104,3,"6,22","7,00","4,58","6,99","6,54","5,97","8.977,51","0,245","0,046","9,10","0,041","-0,69","0,44",,,
2012,BRA,Brazil,94,3,"6,66","7,33","5,91","7,92","6,94","5,18","12.327,52","-0,066","0,160","9,42","0,019","0,07","0,22","1,239104478","-0,01538461538","0,001961787889"
2008,CHL,Chile,11,1,"7,98","7,95","6,95","8,85","8,81","7,34","10.783,17","0,031","0,104","9,29","0,038","-0,25","0,28",,,
2008,CHN,China,112,4,"5,98","4,57","5,50","7,98","6,30","5,55","3.468,33","0,287","0,061","8,15","0,096","-1,06","0,46",,,
2008,FRA,France,21,1,"7,74","5,88","7,57","9,54","8,37","7,34","45.515,96","0,095","0,051","10,73","0,002","-0,56","0,40",,,
2008,DEU,Germany,26,1,"7,7","6,38","8,02","9,51","8,19","6,41","45.612,71","0,095","0,054","10,73","0,010","-0,52","0,38",,,
2008,HKG,"Hong Kong SAR, China",1,1,"9,07","9,09","7,94","9,41","9,62","9,28","31.515,53","0,030","0,022","10,36","0,021","-0,66","0,52",,,
2008,ISR,Israel,46,2,"7,33","6,60","5,50","9,57","8,50","6,47","30.173,18","0,177","0,063","10,31","0,033","-0,72","0,32",,,
2008,JPN,Japan,13,1,"7,9","6,43","7,68","9,84","7,54","8,00","39.876,31","0,115","0,069","10,59","-0,012","-0,55","0,46",,,
2008,KOR,"Korea, Rep.",37,2,"7,49","7,35","6,46","9,42","7,39","6,81","21.350,43","-0,114","0,113","9,97","0,030","-0,52","0,39",,,
2008,MEX,Mexico,72,3,"6,88","7,43","5,16","8,16","7,00","6,64","10.119,82","0,041","0,027","9,22","0,011","-0,28","0,35",,,
2008,TWN,Taiwan,43,2,"7,41","7,08","6,28","9,66","7,26","6,78","0,00","0,000","0,000","0,00","0,008","-0,62","0,34",,,
2008,THA,Thailand,80,3,"6,75","7,45","5,55","7,06","6,62","7,08","4.327,80","0,100","0,039","8,37","0,017","-0,65","0,34",,,
2008,TUR,Turkey,65,2,"6,97","7,60","5,40","8,46","7,19","6,20","10.802,60","0,117","0,080","9,29","0,008","-0,73","0,44",,,
2008,USA,United States,5,1,"8,33","7,28","7,91","9,51","8,27","8,69","48.570,05","0,011","0,019","10,79","0,001","-0,49","0,41",,,
2007,ARG,Argentina,101,3,"6,31","7,13","4,53","7,31","6,52","6,07","7.210,60","0,224","0,056","8,88","0,090","0,03","0,22",,,
2013,BRA,Brazil,103,3,"6,52","6,99","5,65","7,94","6,90","5,13","12.258,56","-0,006","0,160","9,41","0,030","-0,17","0,20","34,46193841","0,0625","-0,09039476612"
2007,CHL,Chile,11,1,"8,04","8,00","6,89","9,11","8,80","7,42","10.461,37","0,111","0,089","9,26","0,052","0,13","0,19",,,
2007,CHN,China,110,4,6,"4,55","5,45","8,03","6,29","5,66","2.693,96","0,283","0,060","7,90","0,142","0,68","0,35",,,
2007,FRA,France,22,1,"7,79","5,90","7,71","9,58","8,44","7,30","41.557,62","0,139","0,078","10,63","0,024","0,01","0,17",,,
2007,DEU,Germany,26,1,"7,74","6,38","8,16","9,50","8,28","6,39","41.640,08","0,145","0,076","10,64","0,030","0,20","0,16",,,
2007,HKG,"Hong Kong SAR, China",1,1,"9,03","9,01","7,96","9,36","9,66","9,16","30.593,95","0,084","0,044","10,33","0,065","0,33","0,26",,,
2007,ISR,Israel,48,2,"7,4","6,33","5,70","9,73","8,61","6,63","25.633,75","0,140","0,045","10,15","0,060","0,22","0,16",,,
2007,JPN,Japan,12,1,8,"6,46","7,82","9,89","7,67","8,15","35.779,02","-0,006","0,058","10,49","0,015","-0,12","0,18",,,
2007,KOR,"Korea, Rep.",32,1,"7,65","7,42","6,80","9,61","7,45","6,99","24.086,41","0,108","0,027","10,09","0,058","0,28","0,23",,,
2007,MEX,Mexico,72,3,"6,88","7,44","5,16","8,13","6,98","6,67","9.719,93","0,065","0,070","9,18","0,023","0,11","0,22",,,
2007,TWN,Taiwan,45,2,"7,45","7,29","6,23","9,81","7,22","6,72","0,00","0,000","0,000","0,00","0,069","0,08","0,21",,,
2007,THA,Thailand,82,3,"6,72","7,31","5,66","7,20","6,40","7,04","3.934,69","0,177","0,036","8,28","0,054","0,23","0,19",,,
2007,TUR,Turkey,91,3,"6,52","7,82","5,39","6,54","6,97","5,85","9.668,40","0,208","0,082","9,18","0,050","0,35","0,28",,,
2007,USA,United States,4,1,"8,53","7,83","7,98","9,61","8,33","8,94","48.050,22","0,038","0,009","10,78","0,020","0,03","0,16",,,
2006,ARG,Argentina,106,3,"6,15","7,29","4,54","6,47","6,42","6,03","5.890,98","0,158","0,393","8,68","0,080","0,29","0,22",,,
2014,BRA,Brazil,109,3,"6,43","6,90","5,58","7,94","6,75","4,97","12.071,40","-0,015","0,159","9,40","0,005","-0,03","0,25","-0,04135338346","-0,05882352941","-0,03249916176"
2006,CHL,Chile,12,1,"7,99","7,65","6,77","9,33","8,72","7,46","9.418,06","0,245","0,131","9,15","0,060","0,32","0,12",,,
2006,CHN,China,116,4,"5,88","4,41","5,18","8,12","6,24","5,43","2.099,22","0,197","0,042","7,65","0,127","0,83","0,21",,,
2006,FRA,France,34,1,"7,58","5,18","7,43","9,51","8,41","7,35","36.470,21","0,049","0,077","10,50","0,026","0,16","0,15",,,
2006,DEU,Germany,20,1,"7,78","6,52","8,21","9,47","8,36","6,36","36.353,88","0,053","0,074","10,50","0,038","0,20","0,16",,,
2006,HKG,"Hong Kong SAR, China",1,1,"9,04","9,04","7,98","9,48","9,59","9,12","28.224,09","0,059","0,046","10,25","0,070","0,29","0,14",,,
2006,ISR,Israel,47,2,"7,36","6,19","5,86","9,57","8,54","6,65","22.494,60","0,060","0,060","10,02","0,056","0,12","0,17",,,
2006,JPN,Japan,12,1,"7,99","6,45","7,80","9,90","7,59","8,23","35.991,54","-0,048","0,065","10,49","0,014","0,07","0,20",,,
2006,KOR,"Korea, Rep.",29,1,"7,65","7,12","6,93","9,63","7,31","7,27","21.743,48","0,121","0,025","9,99","0,053","0,04","0,18",,,
2006,MEX,Mexico,71,2,"6,95","7,35","5,31","8,18","7,12","6,78","9.125,39","0,097","0,072","9,12","0,045","0,40","0,23",,,
2006,TWN,Taiwan,40,2,"7,48","7,46","6,18","9,71","7,27","6,78","0,00","0,000","0,000","0,00","0,058","0,18","0,16",,,
2006,THA,Thailand,79,3,"6,74","7,55","5,64","6,96","6,46","7,09","3.343,79","0,163","0,028","8,11","0,050","-0,05","0,25",,,
2006,TUR,Turkey,96,3,"6,39","7,85","5,82","5,57","7,03","5,68","8.003,81","0,086","0,085","8,99","0,069","-0,02","0,29",,,
2006,USA,United States,4,1,"8,51","7,87","7,87","9,65","8,31","8,86","46.302,00","0,049","0,014","10,74","0,028","0,13","0,10",,,
2005,ARG,Argentina,98,3,"6,22","7,52","4,62","6,30","6,28","6,39","5.086,63","0,195","0,392","8,53","0,089","0,13","0,25",,,
2015,BRA,Brazil,118,3,"6,25","6,80","5,50","7,82","6,61","4,50","8.783,21","-0,272","0,160","9,08","-0,035","-0,14","0,23","-0,08235294118","-0,09375","-0,1364527222"
2005,CHL,Chile,15,1,"7,98","7,59","6,62","9,57","8,59","7,52","7.561,83","0,223","0,161","8,93","0,058","0,09","0,12",,,
2005,CHN,China,116,4,"5,81","4,47","5,02","8,17","6,22","5,20","1.753,41","0,162","0,037","7,47","0,114","-0,09","0,21",,,
2005,FRA,France,33,1,"7,57","5,12","7,18","9,58","8,46","7,53","34.768,18","0,029","0,088","10,46","0,017","0,21","0,11",,,
2005,DEU,Germany,20,1,"7,81","6,46","8,21","9,53","8,38","6,49","34.520,24","0,012","0,085","10,45","0,007","0,24","0,12",,,
2005,HKG,"Hong Kong SAR, China",1,1,"9,01","8,88","7,91","9,70","9,61","8,97","26.649,64","0,069","0,044","10,19","0,074","0,04","0,11",,,
2005,ISR,Israel,44,2,"7,38","6,20","5,94","9,56","8,61","6,57","21.223,94","0,032","0,058","9,96","0,041","0,26","0,14",,,
2005,JPN,Japan,12,1,"8,05","6,38","7,76","9,92","7,96","8,21","37.812,89","-0,013","0,086","10,54","0,018","0,34","0,13",,,
2005,KOR,"Korea, Rep.",36,2,"7,52","7,10","6,63","9,61","7,07","7,17","19.402,50","0,176","0,090","9,87","0,043","0,43","0,17",,,
2005,MEX,Mexico,68,2,"6,96","7,34","5,36","8,21","7,20","6,71","8.321,86","0,106","0,066","9,03","0,023","0,32","0,17",,,
2005,TWN,Taiwan,42,2,"7,43","7,32","6,19","9,58","7,32","6,75","0,00","0,000","0,000","0,00","0,054","0,06","0,13",,,
2005,THA,Thailand,76,3,"6,63","7,19","5,75","7,03","6,26","6,93","2.876,25","0,086","0,077","7,96","0,042","0,07","0,14",,,
2005,TUR,Turkey,95,3,"6,35","8,19","5,97","4,94","6,97","5,71","7.369,43","0,222","0,236","8,91","0,090","0,47","0,24",,,
2005,USA,United States,3,1,"8,51","7,89","7,94","9,70","8,29","8,74","44.123,41","0,057","0,017","10,69","0,035","0,03","0,10",,,
2004,ARG,Argentina,78,3,"6,39","7,99","4,52","6,91","6,29","6,26","4.258,16","0,278","0,378","8,36","0,089","0,25","0,33",,,
2016,BRA,Brazil,112,3,"6,44","6,69","5,48","9,04","6,73","4,28","8.680,74","-0,012","0,113","9,07","-0,033","0,33","0,26","2,538461538","-0,03448275862","0,4860985828"
2004,CHL,Chile,20,1,"7,83","7,57","6,27","9,16","8,77","7,39","6.185,51","0,282","0,144","8,73","0,067","0,19","0,12",,,
2004,CHN,China,111,4,"5,63","4,38","4,87","8,08","6,23","4,61","1.508,67","0,171","0,033","7,32","0,101","-0,17","0,20",,,
2004,FRA,France,33,1,"7,61","4,91","7,06","9,61","8,92","7,56","33.797,16","0,141","0,121","10,43","0,026","0,07","0,14",,,
2004,DEU,Germany,18,1,"7,9","6,41","8,15","9,54","9,01","6,40","34.106,66","0,125","0,121","10,44","0,012","0,07","0,16",,,
2004,HKG,"Hong Kong SAR, China",1,1,"8,88","8,63","7,56","9,80","9,36","9,05","24.928,10","0,040","0,032","10,12","0,087","0,12","0,16",,,
2004,ISR,Israel,41,2,"7,32","5,88","5,75","9,62","8,95","6,41","20.557,16","0,047","0,072","9,93","0,048","0,17","0,14",,,
2004,JPN,Japan,14,1,"8,04","6,29","7,57","9,74","8,73","7,85","38.298,98","0,082","0,092","10,55","0,022","0,07","0,18",,,
2004,KOR,"Korea, Rep.",46,2,"7,26","6,96","6,27","9,01","7,16","6,92","16.496,12","0,124","0,085","9,71","0,052","0,10","0,24",,,
2004,MEX,Mexico,65,2,"6,89","7,48","4,94","7,99","7,18","6,84","7.525,49","0,057","0,084","8,93","0,039","0,38","0,15",,,
2004,TWN,Taiwan,35,2,"7,58","7,19","6,12","9,71","8,70","6,17","0,00","0,000","0,000","0,00","0,070","0,04","0,24",,,
2004,THA,Thailand,74,3,"6,71","7,55","5,63","7,09","6,52","6,78","2.647,26","0,126","0,086","7,88","0,063","-0,14","0,24",,,
2004,TUR,Turkey,93,3,"6,13","8,09","5,73","5,05","6,59","5,18","6.031,79","0,282","0,234","8,70","0,098","0,29","0,27",,,
2004,USA,United States,4,1,"8,7","8,07","8,14","9,75","8,71","8,79","41.724,63","0,057","0,016","10,64","0,039","0,09","0,11",,,
2003,ARG,Argentina,84,3,"6,25","8,04","4,06","6,48","6,51","6,14","3.333,15","0,292","0,338","8,11","0,090","0,71","0,29",,,
2017,BRA,Brazil,100,3,"6,65","6,76","5,37","9,27","6,96","4,88","9.896,72","0,140","0,149","9,20","0,013","0,24","0,19","-0,134057971","0,08928571429","0,30241253"
2003,CHL,Chile,21,1,"7,81","7,47","6,36","8,93","8,89","7,39","4.824,22","0,077","0,074","8,48","0,047","0,40","0,14",,,
2003,CHN,China,100,4,"5,79","4,53","4,96","8,29","6,22","4,96","1.288,64","0,122","0,025","7,16","0,100","0,10","0,18",,,
2003,FRA,France,29,1,"7,61","4,98","6,98","9,59","9,09","7,38","29.627,92","0,220","0,118","10,30","0,008","0,15","0,26",,,
2003,DEU,Germany,18,1,"7,91","6,16","8,12","9,59","9,37","6,31","30.310,36","0,203","0,118","10,32","-0,007","0,29","0,31",,,
2003,HKG,"Hong Kong SAR, China",1,1,"8,83","8,48","7,30","9,67","9,66","9,02","23.977,17","-0,028","0,023","10,08","0,031","0,30","0,17",,,
2003,ISR,Israel,41,2,"7,31","6,03","5,71","9,54","9,09","6,18","19.627,03","0,031","0,070","9,88","0,014","0,47","0,22",,,
2003,JPN,Japan,12,1,"8,05","6,44","7,76","9,76","8,82","7,47","35.387,05","0,078","0,103","10,47","0,015","0,22","0,22",,,
2003,KOR,"Korea, Rep.",47,2,"7,16","7,17","6,26","8,71","7,08","6,55","14.672,86","0,115","0,123","9,59","0,031","0,26","0,26",,,
2003,MEX,Mexico,64,2,"6,81","7,54","4,76","7,97","7,03","6,73","7.120,37","-0,069","0,092","8,87","0,014","0,36","0,14",,,
2003,TWN,Taiwan,32,1,"7,51","6,89","6,11","9,77","8,82","5,93","0,00","0,000","0,000","0,00","0,042","0,28","0,21",,,
2003,THA,Thailand,70,3,"6,64","7,33","5,68","7,00","6,60","6,62","2.350,85","0,124","0,082","7,76","0,072","0,77","0,19",,,
2003,TUR,Turkey,94,3,"6,04","7,79","5,48","4,88","6,67","5,37","4.704,77","0,292","0,222","8,46","0,058","0,59","0,40",,,
2003,USA,United States,4,1,"8,61","7,87","8,26","9,74","8,67","8,52","39.490,27","0,039","0,014","10,58","0,028","0,23","0,17",,,
2002,ARG,Argentina,78,3,"6,32","7,88","4,17","7,27","6,30","5,96","2.579,49","-0,640","0,274","7,86","-0,109","0,53","0,44",,,
2018,BRA,Brazil,104,3,"6,58","6,74","5,19","9,27","6,96","4,76","9.121,02","-0,078","0,149","9,12","0,018","0,14","0,22","-0,2775453278","0,01639344262","0,103575416"
2002,CHL,Chile,27,1,"7,68","7,32","6,37","8,77","8,77","7,15","4.479,18","-0,028","0,049","8,41","0,032","-0,17","0,15",,,
2002,CHN,China,100,4,"5,75","4,51","4,83","8,34","6,24","4,81","1.148,51","0,091","0,022","7,05","0,091","-0,19","0,24",,,
2002,FRA,France,29,1,"7,62","5,02","6,96","9,61","9,13","7,37","24.288,27","0,082","0,064","10,10","0,012","-0,41","0,36",,,
2002,DEU,Germany,18,1,"7,86","6,06","8,08","9,59","9,36","6,21","25.197,27","0,066","0,066","10,13","-0,002","-0,54","0,41",,,
2002,HKG,"Hong Kong SAR, China",2,1,"8,79","8,56","7,30","9,56","9,62","8,91","24.665,84","-0,022","0,030","10,11","0,017","-0,20","0,19",,,
2002,ISR,Israel,40,2,"7,23","5,75","5,96","9,19","9,09","6,18","19.035,00","-0,090","0,067","9,85","-0,001","-0,30","0,21",,,
2002,JPN,Japan,15,1,"7,88","6,07","7,53","9,70","8,58","7,49","32.820,79","-0,046","0,107","10,40","0,000","-0,21","0,26",,,
2002,KOR,"Korea, Rep.",47,2,"7,15","7,31","6,30","8,46","7,14","6,54","13.165,07","0,139","0,240","9,49","0,077","-0,10","0,32",,,
2002,MEX,Mexico,60,2,"6,82","7,71","4,83","7,81","7,03","6,70","7.650,93","0,005","0,064","8,94","0,000","-0,04","0,22",,,
2002,TWN,Taiwan,32,2,"7,42","6,80","5,72","9,74","8,90","5,95","0,00","0,000","0,000","0,00","0,055","-0,22","0,28",,,
2002,THA,Thailand,71,3,"6,6","7,03","5,94","6,87","6,66","6,51","2.091,18","0,106","0,147","7,65","0,061","0,16","0,20",,,
2002,TUR,Turkey,100,4,"5,75","7,36","5,44","4,06","6,59","5,31","3.640,76","0,174","0,266","8,20","0,064","-0,28","0,43",,,
2002,USA,United States,4,1,"8,61","7,67","8,37","9,72","8,63","8,67","37.997,76","0,023","0,015","10,55","0,017","-0,27","0,26",,,
2001,ARG,Argentina,58,2,"6,8","8,11","4,33","9,68","6,38","5,53","7.168,98","-0,065","0,054","8,88","-0,044","-0,30","0,49",,,
2019,BRA,Brazil,106,3,"6,60","6,83","5,11","9,26","6,99","4,81","8.845,32","-0,030","0,149","9,09","0,012","0,28","0,18","0,2799227799","0,1290322581","0,2081617423"
2001,CHL,Chile,27,1,"7,56","7,33","6,31","8,66","8,68","6,82","4.606,89","-0,096","0,075","8,44","0,032","0,09","0,13",,,
2001,CHN,China,105,4,"5,58","3,60","4,83","8,37","6,44","4,65","1.053,11","0,098","0,023","6,96","0,083","-0,23","0,21",,,
2001,FRA,France,29,1,"7,54","4,93","6,91","9,63","8,76","7,45","22.449,34","0,001","0,058","10,02","0,019","-0,25","0,26",,,
2001,DEU,Germany,19,1,"7,8","6,04","8,07","9,56","9,33","6,00","23.628,33","-0,003","0,062","10,07","0,017","-0,22","0,29",,,
2001,HKG,"Hong Kong SAR, China",1,1,"8,83","8,90","7,29","9,33","9,72","8,93","25.230,38","-0,020","0,061","10,14","0,006","-0,28","0,28",,,
2001,ISR,Israel,54,2,"6,92","5,20","6,13","9,28","8,51","5,50","20.909,68","-0,033","0,051","9,95","0,003","-0,10","0,22",,,
2001,JPN,Japan,17,1,"7,86","6,40","7,51","9,71","8,61","7,10","34.406,17","-0,122","0,112","10,45","0,004","-0,27","0,28",,,
2001,KOR,"Korea, Rep.",48,2,"7,03","7,14","6,29","8,25","7,17","6,31","11.561,25","-0,057","0,237","9,36","0,049","0,32","0,35",,,
2001,MEX,Mexico,65,3,"6,69","7,74","4,70","7,62","7,17","6,21","7.613,14","0,053","0,069","8,94","-0,004","0,12","0,25",,,
2001,TWN,Taiwan,34,2,"7,27","6,62","5,61","9,54","8,76","5,83","0,00","0,000","0,000","0,00","-0,014","0,16","0,33",,,
2001,THA,Thailand,71,3,"6,49","7,08","5,87","6,74","6,68","6,09","1.889,97","-0,057","0,141","7,54","0,034","0,12","0,31",,,
2001,TUR,Turkey,108,4,"5,44","7,02","5,00","3,59","6,53","5,07","3.100,46","-0,275","0,259","8,04","-0,058","0,38","0,64",,,
2001,USA,United States,3,1,"8,56","7,52","8,62","9,61","8,73","8,33","37.133,62","0,022","0,013","10,52","0,010","-0,14","0,22",,,
2000,ARG,Argentina,37,2,"7,21","7,98","4,68","9,60","7,40","6,38","7.666,52","-0,009","0,049","8,94","-0,008","-0,28","0,29",,,
2020,BRA,Brazil,114,3,"6,33","6,61","5,16","9,25","6,17","4,46","6.923,70","-0,217","0,129","8,84","-0,033","0,03","0,45","0,6606334842",-1,-1
2000,CHL,Chile,30,1,"7,45","7,34","6,23","9,11","7,18","7,39","5.097,11","0,023","0,072","8,54","0,050","-0,04","0,16",,,
2000,CHN,China,107,4,"5,51","3,59","4,61","8,24","6,12","4,98","959,36","0,099","0,044","6,87","0,085","0,42","0,19",,,
2000,FRA,France,27,1,"7,67","4,69","7,05","9,59","9,09","7,93","22.416,43","-0,092","0,058","10,02","0,041","-0,01","0,23",,,
2000,DEU,Germany,17,1,"7,94","5,83","8,23","9,55","9,44","6,62","23.694,76","-0,114","0,057","10,07","0,029","-0,08","0,24",,,
2000,HKG,"Hong Kong SAR, China",2,1,"8,81","8,93","7,20","9,07","9,73","9,10","25.756,77","0,027","0,063","10,16","0,077","-0,12","0,31",,,
2000,ISR,Israel,61,2,"6,76","5,25","6,18","7,97","8,43","5,99","21.630,57","0,096","0,050","9,98","0,087","0,01","0,27",,,
2000,JPN,Japan,14,1,"8,06","6,43","7,88","9,80","8,68","7,52","39.169,36","0,070","0,111","10,58","0,028","-0,32","0,22",,,
2000,KOR,"Korea, Rep.",54,2,"6,9","7,20","6,15","7,70","6,84","6,59","12.256,99","0,148","0,237","9,41","0,091","-0,71","0,45",,,
2000,MEX,Mexico,65,3,"6,66","7,58","4,84","6,91","7,30","6,69","7.232,91","0,161","0,060","8,89","0,049","-0,23","0,35",,,
2000,TWN,Taiwan,33,2,"7,37","6,94","5,62","9,46","8,74","6,08","0,00","0,000","0,000","0,00","0,063","-0,58","0,36",,,
2000,THA,Thailand,73,3,"6,48","6,88","5,84","6,74","6,63","6,33","2.004,11","-0,012","0,157","7,60","0,045","-0,58","0,30",,,
2000,TUR,Turkey,104,4,"5,61","7,22","5,05","3,57","6,62","5,60","4.278,27","0,054","0,195","8,36","0,069","-0,48","0,59",,,
2000,USA,United States,3,1,"8,7","7,71","8,77","9,61","8,81","8,60","36.329,96","0,053","0,004","10,50","0,041","-0,11","0,22",,,
