Date,Open,High,Low,Close,Adj Close,Volume,,Variation %,SD,,Year,Return,Risk,,Year,EFW_Index,GovSize,LegalSystem,SoundMoney,TradeFreedom,Regulation,Return,Risk
2000-11-01,14.858.000.000,15.191.000.000,12.969.000.000,13.287.000.000,13.287.000.000,0,,"-0,106275644",,,2011,"-0,05261734885","0,1948314925",,2011,"6,66","7,48","5,97","7,78","5,12","4,1","-0,05261734885","0,1948314925"
2000-12-01,13.303.000.000,15.415.000.000,13.242.000.000,15.259.000.000,15.259.000.000,0,,"0,1484157447",,,2012,"-0,05249556063","0,1876470196",,2012,"6,66","7,33","5,91","7,92","5,18","5,18","-0,05249556063","0,1876470196"
2001-01-01,15.242.000.000,18.023.000.000,15.174.000.000,17.673.000.000,17.673.000.000,0,,"0,158201717",,,2013,"-0,2028413179","0,1519951302",,2013,"6,52","6,99","5,65","7,94","5,13","5,13","-0,2028413179","0,1519951302"
2001-02-01,17.670.000.000,17.673.000.000,15.558.000.000,15.891.000.000,15.891.000.000,0,,"-0,1008317773",,,2014,"-0,01534457062","0,2135106777",,2014,"6,43","6,9","5,58","7,94","4,97","4,97","-0,01534457062","0,2135106777"
2001-03-01,15.891.000.000,16.813.000.000,13.761.000.000,14.438.000.000,14.438.000.000,0,,"-0,09143540369",,,2015,"-0,1386117507","0,1952341439",,2015,"6,25","6,8","5,5","7,82","4,5","3,1","-0,1386117507","0,1952341439"
2001-04-01,14.441.000.000,15.267.000.000,13.325.000.000,14.918.000.000,14.918.000.000,0,,"0,03324560188",,,2016,"0,6005296243","0,2641660818",,2016,"6,44","6,69","5,48","9,04","4,28","4,28","0,6005296243","0,2641660818"
2001-05-01,14.877.000.000,15.304.000.000,14.056.000.000,14.650.000.000,14.650.000.000,0,,"-0,01796487465",,,2017,"0,3129996444","0,1554981377",,2017,"6,65","6,76","5,37","9,27","4,88","4,88","0,3129996444","0,1554981377"
2001-06-01,14.654.000.000,15.644.000.000,14.164.000.000,14.560.000.000,14.560.000.000,0,,"-0,00614334471",,,2018,"0,1469857383","0,2241798072",,2018,"6,58","6,74","5,19","9,27","4,76","4,76","0,1469857383","0,2241798072"
2001-07-01,14.579.000.000,14.771.000.000,13.361.000.000,13.754.000.000,13.754.000.000,0,,"-0,05535714286",,,2019,"0,1680493665","0,1188839058",,2019,"6,6","6,83","5,11","9,26","4,81","4,81","0,1680493665","0,1188839058"
2001-08-01,13.757.000.000,14.143.000.000,12.681.000.000,12.841.000.000,12.841.000.000,0,,"-0,06638068925",,,2020,"0,01974314572","0,3928038011",,2020,"6,33","6,61","5,16","9,25","4,46","4,46","0,01974314572","0,3928038011"
2001-09-01,12.849.000.000,12.947.000.000,9.533.000.000,10.636.000.000,10.636.000.000,0,,"-0,1717155985",,,,,,,,,,,,,,,
2001-10-01,10.633.000.000,11.924.000.000,9.985.000.000,11.365.000.000,11.365.000.000,0,,"0,06854080481",,,,,,,Correlations,,,,,,,,
2001-11-01,11.362.000.000,13.791.000.000,11.177.000.000,12.932.000.000,12.932.000.000,0,,"0,1378794545",,,,≥ 0.5 ,,,,EFW_Index,GovSize,LegalSystem,SoundMoney,TradeFreedom,Regulation,Return,Risk
2001-12-01,12.914.000.000,13.969.000.000,12.809.000.000,13.578.000.000,13.578.000.000,0,,"0,04995360346",,,,≥ 0.3 and < 0.5 ,,,EFW_Index,1,"0,5076956744","0,7930742459","0,7069246771","0,8118841149","-0,1561813548","-0,1692232543","0,4308284455"
2002-01-01,13.586.000.000,14.413.000.000,12.301.000.000,12.721.000.000,12.721.000.000,0,,"-0,0631168066",,,,≥ 0.1 and < 0.3,,,GovSize,"0,5076956744",1,"0,7724245588","-0,1998629423","0,5957509067","0,2612025504","-0,2934552456","0,5187698392"
2002-02-01,12.723.000.000,14.251.000.000,12.415.000.000,14.033.000.000,14.033.000.000,0,,"0,1031365459",,,,"< 0,1",,,LegalSystem,"0,7930742459","0,7724245588",1,"0,2557644391","0,7204004129","-0,08767204037","-0,2863539369","0,5504406372"
2002-03-01,14.047.000.000,14.495.000.000,13.183.000.000,13.255.000.000,13.255.000.000,0,,"-0,05544074681",,,,≥ -0.5 ,,,SoundMoney,"0,7069246771","-0,1998629423","0,2557644391",1,"0,3874908258","-0,5134813078","0,08783438921","0,1265284404"
