EFW_Index,GovSize,LegalSystem,SoundMoney,TradeFreedom,Regulation,Return,Risk
,0.84 (p-value: 0.0000),-0.09 (p-value: 0.6935),0.78 (p-value: 0.0000),0.84 (p-value: 0.0000),0.56 (p-value: 0.0081),-0.26 (p-value: 0.2534),-0.08 (p-value: 0.7282)
0.84 (p-value: 0.0000),,-0.32 (p-value: 0.1545),0.60 (p-value: 0.0041),0.60 (p-value: 0.0040),0.56 (p-value: 0.0077),-0.25 (p-value: 0.2803),0.15 (p-value: 0.5127)
-0.09 (p-value: 0.6935),-0.32 (p-value: 0.1545),,-0.35 (p-value: 0.1164),0.18 (p-value: 0.4309),0.01 (p-value: 0.9685),-0.18 (p-value: 0.4347),-0.03 (p-value: 0.9077)
0.78 (p-value: 0.0000),0.60 (p-value: 0.0041),-0.35 (p-value: 0.1164),,0.37 (p-value: 0.0958),0.24 (p-value: 0.2930),-0.22 (p-value: 0.3301),0.04 (p-value: 0.8750)
0.84 (p-value: 0.0000),0.60 (p-value: 0.0040),0.18 (p-value: 0.4309),0.37 (p-value: 0.0958),,0.46 (p-value: 0.0353),-0.16 (p-value: 0.4903),-0.23 (p-value: 0.3227)
0.56 (p-value: 0.0081),0.56 (p-value: 0.0077),0.01 (p-value: 0.9685),0.24 (p-value: 0.2930),0.46 (p-value: 0.0353),,-0.11 (p-value: 0.6271),-0.30 (p-value: 0.1795)
-0.26 (p-value: 0.2534),-0.25 (p-value: 0.2803),-0.18 (p-value: 0.4347),-0.22 (p-value: 0.3301),-0.16 (p-value: 0.4903),-0.11 (p-value: 0.6271),,-0.38 (p-value: 0.0917)
-0.08 (p-value: 0.7282),0.15 (p-value: 0.5127),-0.03 (p-value: 0.9077),0.04 (p-value: 0.8750),-0.23 (p-value: 0.3227),-0.30 (p-value: 0.1795),-0.38 (p-value: 0.0917),
